Time [s]	x [mm]	y [mm]	Voltage [V]	Current [A]
1624.728006099991	140.0	130.0	0.0	1.081774e-06
1647.7858104000334	0.0	140.0	0.0	6.260017e-07
1652.2618622999871	10.0	140.0	0.0	7.301666e-07
1656.6533257000265	20.0	140.0	0.0	8.750788e-07
1661.1172013999894	30.0	140.0	0.0	9.850945e-07
1667.6396085000015	40.0	140.0	0.0	1.038332e-06
1671.750306300004	50.0	140.0	0.0	1.131368e-06
1676.2216253000079	60.0	140.0	0.0	1.172922e-06
1681.8586655000108	70.0	140.0	0.0	1.317846e-06
1686.709287900012	80.0	140.0	0.0	1.624676e-06
1690.773615800019	90.0	140.0	0.0	1.671685e-06
1695.315485100029	100.0	140.0	0.0	1.56907e-06
1702.0791283000144	110.0	140.0	0.0	1.489207e-06
1708.3955211000284	120.0	140.0	0.0	1.441902e-06
1714.5203500000061	130.0	140.0	0.0	1.347465e-06
1721.6440712999902	140.0	140.0	0.0	9.50104e-07
