Wavelength [nm]	Intensity [A.U.]
541.618663294528	-0.0
541.7773562691583	0.0
541.9360572025225	0.0
542.094766092152	0.0
542.2534829355782	0.0
542.4122077303325	0.0
542.5709404739464	0.0
542.7296811639512	0.0
542.8884297978785	0.0
543.0471863732598	0.0
543.2059508876263	0.0
543.3647233385095	0.0
543.5235037234409	0.0
543.6822920399519	0.0
543.8410882855738	0.0
543.9998924578383	-0.0
544.1587045542767	0.0
544.3175245724204	0.0
544.4763525098009	0.0
544.6351883639495	-0.0
544.7940321323979	-0.0
544.9528838126772	-0.0
545.111743402319	0.0
545.2706108988548	0.0
545.4294862998158	0.0
545.5883696027338	0.0
545.7472608051398	0.0
545.9061599045656	0.0
546.0650668985425	0.0
546.2239817846018	0.0
546.3829045602752	0.0
546.5418352230938	0.0
546.7007737705893	0.0
546.859720200293	-0.0
547.0186745097366	-0.0
547.177636696451	0.0
547.3366067579682	-0.0
547.4955846918192	-0.0
547.6545704955357	-0.0
547.813564166649	-0.0
547.9725657026906	0.0
548.1315751011919	0.0
548.2905923596843	0.0
548.4496174756994	0.0
548.6086504467684	0.0
548.7676912704228	0.0
548.9267399441941	0.0
549.0857964656137	0.0
549.244860832213	0.0
549.4039330415235	0.0
549.5630130910766	0.0
549.7221009784038	-0.0
549.8811967010363	0.0
550.0403002565058	0.0
550.1994116423436	0.0
550.3585308560812	-0.0
550.51765789525	-0.0
550.6767927573813	-0.0
550.8359354400068	-0.0
550.9950859406578	0.0
551.1542442568656	-0.0
551.3134103861619	-0.0
551.4725843260778	0.0
551.631766074145	0.0
551.790955627895	0.0
551.9501529848588	0.0
552.1093581425683	0.0
552.2685710985547	0.0
552.4277918503495	0.0
552.5870203954842	0.0
552.74625673149	0.0
552.9055008558986	0.0
553.0647527662412	0.0
553.2240124600494	0.0
553.3832799348546	-0.0
553.5425551881881	0.0
553.7018382175816	-0.0
553.8611290205663	0.0
