Time [s]	x [mm]	y [mm]	Voltage [V]	Current [A]
1137.953747600026	30.0	100.0	0.0	0.0001586438
1140.8186956000281	40.0	100.0	0.0	0.0001637702
1143.6440912000253	50.0	100.0	0.0	0.0001678914
1146.5822722000303	60.0	100.0	0.0	0.000169311
1150.240654800029	70.0	100.0	0.0	0.0001694643
1164.4152416000143	80.0	100.0	0.0	0.0001747274
1171.3953910000273	90.0	100.0	0.0	0.0001728842
1175.7470764000318	100.0	100.0	0.0	0.0001673377
1178.7732206000364	110.0	100.0	0.0	0.0001592459
1181.1640261000139	120.0	100.0	0.0	0.000149048
1184.168082899996	130.0	100.0	0.0	0.0001358163
1192.400768499996	140.0	100.0	0.0	0.0001179658
1212.326652000018	0.0	110.0	0.0	0.000112399
1216.728731899988	10.0	110.0	0.0	0.0001307704
1219.2306589999935	20.0	110.0	0.0	0.000142491
1221.4484234999982	30.0	110.0	0.0	0.000152647
1225.5238746000105	40.0	110.0	0.0	0.0001613853
1228.8140205999953	50.0	110.0	0.0	0.0001658288
1232.6586022999836	60.0	110.0	0.0	0.000167102
1236.361810500035	70.0	110.0	0.0	0.0001673027
1252.3751856000163	80.0	110.0	0.0	0.0001720906
1256.318342500017	90.0	110.0	0.0	0.0001706001
1259.648947699985	100.0	110.0	0.0	0.0001651883
1263.2752363000182	110.0	110.0	0.0	0.0001556135
1266.9739169999957	120.0	110.0	0.0	0.0001411024
1270.656573300017	130.0	110.0	0.0	0.0001267498
1283.6349131999887	140.0	110.0	0.0	0.000108611
1316.2202328999992	0.0	120.0	0.0	0.000100562
1320.863068000006	10.0	120.0	0.0	0.0001197861
1324.0224881999893	20.0	120.0	0.0	0.0001332832
1326.7522603999823	30.0	120.0	0.0	0.000145074
1329.6151955000241	40.0	120.0	0.0	0.000156608
1332.0885126999929	50.0	120.0	0.0	0.0001624877
1336.603315800021	60.0	120.0	0.0	0.0001633071
1411.4878428000375	70.0	120.0	0.0	0.0001630209
1424.1449412000366	80.0	120.0	0.0	0.0001675555
1429.4986974000349	90.0	120.0	0.0	0.0001671137
1432.1437289000023	100.0	120.0	0.0	0.0001592994
1435.151140400034	110.0	120.0	0.0	0.0001481145
1438.4247557999915	120.0	120.0	0.0	0.000132577
1441.2500724000274	130.0	120.0	0.0	0.0001173322
1457.2625059999991	140.0	120.0	0.0	9.917594e-05
1543.926068700035	0.0	130.0	0.0	8.556853e-05
1550.1673287000158	10.0	130.0	0.0	0.0001097617
1553.5847846000106	20.0	130.0	0.0	0.0001230443
1557.3489782999968	30.0	130.0	0.0	0.0001357249
1561.0398421999998	40.0	130.0	0.0	0.0001478765
1565.1340923000243	50.0	130.0	0.0	0.0001545684
1568.8381997999968	60.0	130.0	0.0	0.0001556964
1574.6815516999923	70.0	130.0	0.0	0.0001557975
1592.182559799985	80.0	130.0	0.0	0.0001594082
1595.7758480000193	90.0	130.0	0.0	0.0001583494
1599.3513645000057	100.0	130.0	0.0	0.0001516026
1602.1439781000372	110.0	130.0	0.0	0.0001389745
1605.035319800023	120.0	130.0	0.0	0.0001234944
1609.1631425000378	130.0	130.0	0.0	0.0001067887
1612.4798030999955	140.0	130.0	0.0	9.102192e-05
1638.2775604000199	0.0	140.0	0.0	8.874335e-05
1643.1674641999998	10.0	140.0	0.0	8.962033e-05
1645.9298506000196	20.0	140.0	0.0	9.53187e-05
1649.9705308999983	30.0	140.0	0.0	0.0001261361
1654.2078848000383	40.0	140.0	0.0	0.0001348221
1657.6946953000152	50.0	140.0	0.0	0.0001399235
1662.6159222000279	60.0	140.0	0.0	0.0001432799
1672.0457902000053	70.0	140.0	0.0	0.0001435034
1683.5114249000326	80.0	140.0	0.0	0.0001466523
1687.2363903000369	90.0	140.0	0.0	0.0001449335
1692.115475300001	100.0	140.0	0.0	0.0001383726
1694.9791373999906	110.0	140.0	0.0	0.0001282753
1698.0167019999935	120.0	140.0	0.0	0.0001135511
1701.4576394000323	130.0	140.0	0.0	8.911137e-05
1710.855834899994	140.0	140.0	0.0	8.318944e-05
