Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
161.95518479999737	10.0	20.0	800-900	0.03244060174793197
161.95518479999737	10.0	20.0	900-1100	-0.23617433565662624
172.48574400000507	20.0	20.0	500-600	0.0
172.48574400000507	20.0	20.0	600-700	0.0
172.48574400000507	20.0	20.0	700-800	0.020221585496694696
172.48574400000507	20.0	20.0	800-900	0.051603188652462176
172.48574400000507	20.0	20.0	900-1100	-1.2840055217884656
181.6519119000004	30.0	20.0	500-600	0.0
181.6519119000004	30.0	20.0	600-700	0.0
181.6519119000004	30.0	20.0	700-800	0.65509441461029
181.6519119000004	30.0	20.0	800-900	2.3977866423881173
181.6519119000004	30.0	20.0	900-1100	7.181373189180942
188.99887860000308	40.0	20.0	500-600	0.0
188.99887860000308	40.0	20.0	600-700	0.0
188.99887860000308	40.0	20.0	700-800	0.6287909632180382
188.99887860000308	40.0	20.0	800-900	2.2061915549648154
188.99887860000308	40.0	20.0	900-1100	4.1250809164713305
195.85611199999403	50.0	20.0	500-600	0.0
195.85611199999403	50.0	20.0	600-700	0.0
195.85611199999403	50.0	20.0	700-800	0.20727224404518038
195.85611199999403	50.0	20.0	800-900	1.124534403720017
195.85611199999403	50.0	20.0	900-1100	2.3035465871120966
203.48287389999314	60.0	20.0	500-600	0.0
203.48287389999314	60.0	20.0	600-700	0.0
203.48287389999314	60.0	20.0	700-800	0.04043467710257751
203.48287389999314	60.0	20.0	800-900	0.2315769020212063
203.48287389999314	60.0	20.0	900-1100	3.7540038494094716
214.08350629999768	70.0	20.0	500-600	0.0
214.08350629999768	70.0	20.0	600-700	0.0
214.08350629999768	70.0	20.0	700-800	-0.004713353756652953
214.08350629999768	70.0	20.0	800-900	-0.024903998807195658
214.08350629999768	70.0	20.0	900-1100	-1.2522277414567422
222.54996550000214	80.0	20.0	500-600	0.0
222.54996550000214	80.0	20.0	600-700	0.0
222.54996550000214	80.0	20.0	700-800	0.004893185372041574
222.54996550000214	80.0	20.0	800-900	0.034817389613290506
222.54996550000214	80.0	20.0	900-1100	0.5457342817481985
239.16803159999836	0.0	30.0	500-600	0.0
239.16803159999836	0.0	30.0	600-700	0.0
239.16803159999836	0.0	30.0	700-800	0.011839907181110207
239.16803159999836	0.0	30.0	800-900	0.06805844294246773
239.16803159999836	0.0	30.0	900-1100	1.1210648360826974
250.0485420000041	10.0	30.0	500-600	0.0
250.0485420000041	10.0	30.0	600-700	0.0
