Time [s]	x [mm]	y [mm]	Wavelength Intervall [nm]	Integrated Intensity [A.U.]
859.6740418000118	20.0	30.0	700-800	0.14808833333333332
873.1189837999991	30.0	30.0	400-500	1.4381093333333332
873.1189837999991	30.0	30.0	500-600	4.202746666666666
873.1189837999991	30.0	30.0	600-700	5.955613333333333
873.1189837999991	30.0	30.0	700-800	3.23461
885.9158930000121	40.0	30.0	400-500	2.374033333333333
885.9158930000121	40.0	30.0	500-600	7.031253333333333
885.9158930000121	40.0	30.0	600-700	10.037906666666666
885.9158930000121	40.0	30.0	700-800	5.437969999999999
896.1595528000034	50.0	30.0	400-500	0.761028
896.1595528000034	50.0	30.0	500-600	1.7721733333333332
896.1595528000034	50.0	30.0	600-700	2.0924
896.1595528000034	50.0	30.0	700-800	1.1868166666666664
914.3654390000011	60.0	30.0	400-500	0.01875346666666667
914.3654390000011	60.0	30.0	500-600	0.05098013333333333
914.3654390000011	60.0	30.0	600-700	0.09510133333333334
914.3654390000011	60.0	30.0	700-800	0.12906333333333334
939.5278408000013	70.0	30.0	400-500	0.0006278493333333334
939.5278408000013	70.0	30.0	500-600	0.001694173333333333
939.5278408000013	70.0	30.0	600-700	0.0030968266666666668
939.5278408000013	70.0	30.0	700-800	0.00730894
966.0854893000069	80.0	30.0	400-500	0.0004201333333333333
966.0854893000069	80.0	30.0	500-600	0.0010367853333333333
966.0854893000069	80.0	30.0	600-700	0.002552653333333333
966.0854893000069	80.0	30.0	700-800	0.004129043333333333
1002.4950058000104	0.0	40.0	400-500	0.0007043693333333333
1002.4950058000104	0.0	40.0	500-600	0.0016139333333333333
1002.4950058000104	0.0	40.0	600-700	0.0034618933333333333
1002.4950058000104	0.0	40.0	700-800	0.006018383333333334
1029.1964898000006	10.0	40.0	400-500	0.0018660399999999998
1029.1964898000006	10.0	40.0	500-600	0.004898533333333334
1029.1964898000006	10.0	40.0	600-700	0.008461146666666666
1029.1964898000006	10.0	40.0	700-800	0.011136933333333333
1044.4844991999998	20.0	40.0	400-500	0.3223546666666666
1044.4844991999998	20.0	40.0	500-600	0.87054
1044.4844991999998	20.0	40.0	600-700	1.3923866666666667
1044.4844991999998	20.0	40.0	700-800	0.9318566666666667
1054.1485012000048	30.0	40.0	400-500	7.035026666666666
1054.1485012000048	30.0	40.0	500-600	21.779333333333334
